Subject,Marks ,Total,Percentage
Engineering Mathematics -I,58,100,58
Basic Electrical Engineering,69,100,69
Basic Electrical Engineering Lab,45,50,90
Engineering Graphics and Design,78,100,78
Engineering Physics,76,100,76
Engineering Physics Lab,44,50,88
