Subject,Marks ,Total,Percentage
Engineering Mathematics -III,85,100,85
Data Structures And Algorithms,88,100,88
Object Oriented Programming,90,100,90
Data Structures And Algorithms Lab,46,50,92
Object Oriented Programming Lab,46,50,92
IT Workshop,44,50,88
Digital Electronics,79,100,79
Digital Electronics Lab,43,50,86
Development of Societies,78,100,78
